"x"
"Coregonus lavaretus Complex"
"Delminichthys jadovensis"
"Delminichthys krbavensis"
"Telestes croaticus"
"Delminichthys adspersus"
"Delminichthys ghetaldii"
"Phoxinellus alepidotus"
"Phoxinellus dalmaticus"
"Cobitis dalmatina"
"Cobitis illyrica"
"Cobitis jadovaensis"
"Cobitis narentana"
"Alytes dickhilleni"
"Morimus asper funereus"
"Centranthus amazonum"
"Ablepharus budaki"
"Achondrostoma salmantinum"
"Achondrostoma occidentale"
"Bufotes boulengeri"
"Bufotes siculus"
"Calotriton arnoldi"
"Chalcides coeruleopunctatus"
"Congeria jalzici"
"Eptesicus anatolicus"
"Himantoglossum jankae"
"Hirudo verbana"
"Hyla molleri"
"Iberochondrostoma oretanum"
"Iberolacerta cyreni"
"Iberolacerta galani"
"Iberolacerta martinezricai"
"Narcissus yepesii"
"Plecotus gaisleri"
"Podarcis gaigeae"
"Pelophylax ridibundus"
"Speleomantes sarrabusensis"
"Sideroxylon canariensis"
"Unio ravoisieri"
"Zerynthia cassandra"
"Calotriton asper"
"Pelophylax perezi"
"Podarcis liolepis atrata"
"Euphrasia nana"
"Pontechium maculatum subsp. maculatum"
"Arenaria funiculata"
"Petagnaea gussonei"
"Narcissus assoanus"
"Papaver radicatum subsp. laestadianum"
"Papaver radicatum subsp. radicatum"
"Pelophylax kurtmuelleri"
"Eokochia saxicola"
"Lissotriton italicus"
"Salamandra atra pasubiensis"
"Mediodactylus kotschyi"
"Ovis aries musimon"
"Narcissus segurensis"
"Bufotes viridis Complex"
"Cobitis taenia Complex"
"Osmoderma eremita Complex"
"Telestes fontinalis"
"Telestes miloradi"
"Atlantica calathoides"
"Atlantica gueriniana"
"Hystricella turricula"
"Hystricella leacockiana"
"Caseolus commixtus"
"Caseolus subcalliferus"
"Squalius alburnoides"
"Pelophylax esculentus"
"Lampetra alavariensis"
"Lampetra auremensis"
"Lampetra lusitanica"
"Diplotaxis siifolia subsp. vicentina"
"Pelophylax lessonae"
"Jasione maritima var. sabularia"
"Scrophularia grandiflora"
"Caropsis verticillato-inundata"
"Vandenboschia speciosa"
"Sideroxylon mirmulans"
"Angelica lignescens"
"Microcondylaea bonellii"
"Aquilegia reuteri"
"Pelophylax bedriagae"
"Pelophylax cretensis"
"Pelophylax cerigensis"
"Tripolium sorrentinoi"
"Dactylorhiza kalopissii subsp. kalopissii"
"Bufotes viridis"
"Hormathophylla pyrenaica"
"Clinopodium taygeteum"
"Erica azorica"
"Prunus azorica"
"Ophrys argolica subsp. argolica"
"Centaurea lancifolia"
"Ionopsidium savianum"
"Dolichophis cypriensis"
"Ophrys kotschyi subsp. kotschyi"
"Primula polliniana"
"Periparus ater cypriotes"
"Periparus ater"
"Acanthis flammea"
"Alaudala rufescens"
"Linaria cannabina"
"Linaria flavirostris"
"Spinus spinus"
"Cecropis daurica"
"Cyanecula svecica"
"Cyanopica cooki"
"Cyanistes caeruleus"
"Cyanistes teneriffae"
"Fringilla polatzeki"
"Fringilla teydea"
"Iduna pallida"
"Iduna opaca"
"Poecile cinctus"
"Poecile lugubris"
"Poecile montanus"
"Poecile palustris"
"Pastor roseus"
"Lanius meridionalis"
"Lophophanes cristatus"
"Phylloscopus orientalis"
"Phylloscopus bonelli"
"Sylvia sarda"
"Sylvia balearica"
"Sylvia hortensis"
"Sylvia crassirostris"
"Phylloscopus collybita"
"Phylloscopus trochiloides"
"Sylvia curruca"
"Puffinus mauretanicus"
"Anser fabalis fabalis"
"Anser fabalis rossicus"
"Aquila fasciata"
"Lagopus lagopus scotica"
"Lagopus muta pyrenaica"
"Lagopus muta helvetica"
"Francolinus francolinus francolinus"
"Turnix sylvaticus"
"Porphyrio porphyrio porphyrio"
"Eudromias morinellus"
"Vanellus spinosus"
"Numenius arquata orientalis"
"Chlidonias hybrida"
"Bubo scandiacus"
"Delichon urbicum"
"Cygnus atratus"
"Alopochen aegyptiaca"
"Aix sponsa"
"Oxyura jamaicensis"
"Cairina moschata"
"Colinus virginianus"
"Francolinus francolinus asiae"
"Chrysolophus amherstiae"
"Pavo cristatus"
"Numida meleagris"
"Threskiornis aethiopicus"
"Porphyrio porphyrio poliocephalus"
"Psittacula krameri"
"Myiopsitta monachus"
"Leiothrix lutea"
"Paradoxornis webbianus"
"Amandava amandava"
"Acridotheres cristatellus"
"Mergellus albellus"
"Numenius arquata arquata"
"Ardea alba"
"Larus armenicus"
"Larus ichthyaetus"
"Lagopus muta"
"Anser canagicus"
"Anser indicus"
"Buteo jamaicensis"
"Parabuteo unicinctus"
"Agapornis roseicollis"
"Calonectris diomedea"
"Calonectris borealis"
"Ardenna gravis"
"Ardenna grisea"
"Hydrobates leucorhous"
"Mareca penelope"
"Spatula querquedula"
"Spatula clypeata"
"Clanga pomarina"
"Clanga clanga"
"Calidris falcinellus"
"Calidris pugnax"
"Hydrocoloeus minutus"
"Thalasseus sandvicensis"
"Picus viridis"
"Picus sharpei"
"Leiopicus medius"
"Dryobates minor"
"Pterodroma deserta"
"Hydrobates castro"
"Microcarbo pygmaeus"
"Lyrurus tetrix tetrix"
"Lyrurus tetrix britannicus"
"Puffinus lherminieri"
"Onychoprion fuscatus"
"Thalasseus bengalensis"
"Hydrobates monteiroi"
"Sternula albifrons"
"Mareca strepera"
"Larus argentatus argentatus"
"Zapornia parva"
"Zapornia pusilla"
"Hydroprogne caspia"
"Larus argentatus argenteus"
"Pternistis erckelii"
"Spilopelia senegalensis"
"Melanitta nigra"
"Sylvia subalpina"
"Lyrurus tetrix"
"Gavia stellata"
"Gavia arctica"
"Gavia immer"
"Tachybaptus ruficollis"
"Podiceps cristatus"
"Podiceps grisegena"
"Podiceps auritus"
"Podiceps nigricollis"
"Fulmarus glacialis"
"Calonectris diomedea"
"Puffinus gravis"
"Puffinus griseus"
"Puffinus puffinus"
"Hydrobates pelagicus"
"Oceanodroma leucorhoa"
"Morus bassanus"
"Phalacrocorax carbo"
"Phalacrocorax aristotelis"
"Pelecanus onocrotalus"
"Pelecanus crispus"
"Botaurus stellaris"
"Ixobrychus minutus"
"Nycticorax nycticorax"
"Ardeola ralloides"
"Bubulcus ibis"
"Egretta garzetta"
"Egretta alba"
"Ardea cinerea"
"Ardea purpurea"
"Ciconia nigra"
"Ciconia ciconia"
"Plegadis falcinellus"
"Geronticus eremita"
"Platalea leucorodia"
"Phoenicopterus ruber"
"Cygnus olor"
"Cygnus columbianus bewickii"
"Cygnus cygnus"
"Anser fabalis"
"Anser brachyrhynchus"
"Anser albifrons"
"Anser erythropus"
"Anser anser"
"Branta canadensis"
"Branta leucopsis"
"Branta bernicla"
"Tadorna tadorna"
"Anas penelope"
"Anas strepera"
"Anas crecca"
"Anas platyrhynchos"
"Anas acuta"
"Anas querquedula"
"Anas clypeata"
"Marmaronetta angustirostris"
"Netta rufina"
"Aythya ferina"
"Aythya nyroca"
"Aythya fuligula"
"Aythya marila"
"Somateria mollissima"
"Clangula hyemalis"
"Melanitta nigra"
"Melanitta fusca"
"Bucephala clangula"
"Mergus albellus"
"Mergus serrator"
"Mergus merganser"
"Oxyura leucocephala"
"Pernis apivorus"
"Milvus migrans"
"Milvus milvus"
"Haliaeetus albicilla"
"Gypaetus barbatus"
"Neophron percnopterus"
"Gyps fulvus"
"Aegypius monachus"
"Circaetus gallicus"
"Circus aeruginosus"
"Circus cyaneus"
"Circus macrourus"
"Circus pygargus"
"Accipiter gentilis"
"Accipiter nisus"
"Buteo buteo"
