"providedScientificName","matchRemark","taxonId","acceptedTaxonId","parentTaxonId","scientificName","canonicalName","authorship","status","acceptedScientificName","classification","kingdom","phylum","class","order","family","genus"
"Alopochen aegyptiaca","","C5KM","C5KM","6294B","Alopochen aegyptiaca (Linnaeus, 1766)","Alopochen aegyptiaca","(Linnaeus, 1766)","accepted","Alopochen aegyptiaca (Linnaeus, 1766)","GENUS:Alopochen Stejneger, 1885|FAMILY:Anatidae Leach, 1820|ORDER:Anseriformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Aves","Anseriformes","Anatidae Leach, 1820","Alopochen Stejneger, 1885"
"Oxyura jamaicensis","","4BMPH","4BMPH","6BJS","Oxyura jamaicensis (J. F. Gmelin, 1789)","Oxyura jamaicensis","(J. F. Gmelin, 1789)","accepted","Oxyura jamaicensis (J. F. Gmelin, 1789)","GENUS:Oxyura Bonaparte, 1828|FAMILY:Anatidae Leach, 1820|ORDER:Anseriformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Aves","Anseriformes","Anatidae Leach, 1820","Oxyura Bonaparte, 1828"
"Threskiornis aethiopicus","","56LQB","56LQB","7WB9","Threskiornis aethiopicus (Latham, 1790)","Threskiornis aethiopicus","(Latham, 1790)","accepted","Threskiornis aethiopicus (Latham, 1790)","GENUS:Threskiornis G. R. Gray, 1842|SUBFAMILY:Threskiornithinae Poche, 1904|FAMILY:Threskiornithidae Poche, 1904|ORDER:Pelecaniformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Aves","Pelecaniformes","Threskiornithidae Poche, 1904","Threskiornis G. R. Gray, 1842"
"Myiopsitta monachus","","4532H","4532H","63D34","Myiopsitta monachus (Boddaert, 1783)","Myiopsitta monachus","(Boddaert, 1783)","accepted","Myiopsitta monachus (Boddaert, 1783)","GENUS:Myiopsitta Bonaparte, 1854|FAMILY:Psittacidae|ORDER:Psittaciformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Myiopsitta Bonaparte, 1854"
"Acridotheres cristatellus","","9KHM","9KHM","N9Y","Acridotheres cristatellus (Linnaeus, 1758)","Acridotheres cristatellus","(Linnaeus, 1758)","accepted","Acridotheres cristatellus (Linnaeus, 1758)","GENUS:Acridotheres Vieillot, 1816|FAMILY:Sturnidae Rafinesque, 1815|ORDER:Passeriformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Aves","Passeriformes","Sturnidae Rafinesque, 1815","Acridotheres Vieillot, 1816"
"Puffinus gravis","","BSNKX","BSNKX","75BM","Puffinus gravis (O'Reilly, 1818)","Puffinus gravis","(O'Reilly, 1818)","accepted","Puffinus gravis (O'Reilly, 1818)","GENUS:Puffinus Brisson, 1760|FAMILY:Procellariidae Leach, 1820|ORDER:Procellariiformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Aves","Procellariiformes","Procellariidae Leach, 1820","Puffinus Brisson, 1760"
"Puffinus griseus","","4QFXR","4QFXR","75BM","Puffinus griseus (Gmelin, 1789)","Puffinus griseus","(Gmelin, 1789)","accepted","Puffinus griseus (Gmelin, 1789)","GENUS:Puffinus Brisson, 1760|FAMILY:Procellariidae Leach, 1820|ORDER:Procellariiformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Aves","Procellariiformes","Procellariidae Leach, 1820","Puffinus Brisson, 1760"
"Oceanodroma leucorhoa","","48C48","48C48","66DS","Oceanodroma leucorhoa (Vieillot, 1818)","Oceanodroma leucorhoa","(Vieillot, 1818)","accepted","Oceanodroma leucorhoa (Vieillot, 1818)","GENUS:Oceanodroma Reichenbach, 1853|SUBFAMILY:Hydrobatinae|FAMILY:Hydrobatidae Mathews, 1912|ORDER:Procellariiformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Aves","Procellariiformes","Hydrobatidae Mathews, 1912","Oceanodroma Reichenbach, 1853"
"Egretta alba","","6DYPH","GCHR","GCHR","Egretta alba (Linnaeus, 1758)","Egretta alba","(Linnaeus, 1758)","synonym","Ardea alba Linnaeus, 1758","SPECIES:Ardea alba Linnaeus, 1758|GENUS:Ardea Linnaeus, 1758|SUBFAMILY:Ardeinae Leach, 1820|FAMILY:Ardeidae Leach, 1820|ORDER:Pelecaniformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae Leach, 1820","Ardea Linnaeus, 1758"
"Geronticus eremita","","3FWY9","3FWY9","4N7Q","Geronticus eremita (Linnaeus, 1758)","Geronticus eremita","(Linnaeus, 1758)","accepted","Geronticus eremita (Linnaeus, 1758)","GENUS:Geronticus Wagler, 1832|SUBFAMILY:Threskiornithinae Poche, 1904|FAMILY:Threskiornithidae Poche, 1904|ORDER:Pelecaniformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota","Animalia","Chordata","Aves","Pelecaniformes","Threskiornithidae Poche, 1904","Geronticus Wagler, 1832"
