"","old_code","old_scientificName","old_UpdateStatus","Alternative.scientific.name","new_code","new_UpdateStatus"
"1","A748","Alopochen aegyptiaca","Deletion","Alopochen aegyptiacus","not found in Natura2000 List","not available"
"2","A011","Puffinus gravis","Deletion","Ardenna gravis","A852","Addition"
"3","A012","Puffinus griseus","Deletion","Ardenna grisea","A853","Addition"
"4","A015","Oceanodroma leucorhoa","Deletion","Hydrobates leucorhous","A854","Addition"
"5","A027","Egretta alba","Deletion","Casmerodius albus","not found in Natura2000 List","not available"
"6","A027","Egretta alba","Deletion","Ardea alba","A773","Addition"
"7","A050","Anas penelope","Deletion","Mareca penelope","A855","Addition"
"8","A051","Anas strepera","Deletion","Mareca strepera","A889","Addition"
"9","A055","Anas querquedula","Deletion","Spatula querquedula","A856","Addition"
"10","A056","Anas clypeata","Deletion","Spatula clypeata","A857","Addition"
"11","A068","Mergus albellus","Deletion","Mergellus albellus","A767","Addition"
"12","A089","Aquila pomarina","Deletion","Clanga pomarina","A858","Addition"
"13","A090","Aquila clanga","Deletion","Clanga clanga","A859","Addition"
"14","A093","Hieraaetus fasciatus","Deletion","Aquila fasciatus","not found in Natura2000 List","not available"
"15","A093","Hieraaetus fasciatus","Deletion","Aquila fasciata","A707","Addition"
"16","A106","Lagopus mutus","Deletion","Lagopus muta","A839","Addition"
"17","A107","Tetrao tetrix","Deletion","Lyrurus tetrix","A909","Addition"
"18","A117","Turnix sylvatica","Deletion","Turnix sylvaticus","A717","Addition"
"19","A120","Porzana parva","Deletion","Zapornia parva","A892","Addition"
"20","A121","Porzana pusilla","Deletion","Zapornia pusilla","A893","Addition"
"21","A139","Charadrius morinellus","Deletion","Eudromias morinellus","A727","Addition"
"22","A150","Limicola falcinellus","Deletion","Calidris falcinellus","A860","Addition"
"23","A151","Philomachus pugnax","Deletion","Calidris pugnax","A861","Addition"
"24","A177","Larus minutus","Deletion","Hydrocoloeus minutus","A862","Addition"
"25","A190","Sterna caspia","Deletion","Hydroprogne caspia","A894","Addition"
"26","A191","Sterna sandvicensis","Deletion","Thalasseus sandvicensis","A863","Addition"
"27","A195","Sterna albifrons","Deletion","Sternula albifrons","A885","Addition"
"28","A196","Chlidonias hybridus","Deletion","Chlidonias hybrida","A734","Addition"
"29","A216","Nyctea scandiaca","Deletion","Bubo scandiacus","A736","Addition"
"30","A216","Nyctea scandiaca","Deletion","Bubo scandiaca","not found in Natura2000 List","not available"
"31","A238","Dendrocopos medius","Deletion","Leiopicus medius","A868","Addition"
"32","A240","Dendrocopos minor","Deletion","Dryobates minor","A869","Addition"
"33","A252","Hirundo daurica","Deletion","Cecropis daurica","A479","Addition"
"34","A253","Delichon urbica","Deletion","Delichon urbicum","A738","Addition"
"35","A254","Anthus richardi","Deletion","Anthus novaeseelandiae","not found in Natura2000 List","not available"
"36","A272","Luscinia svecica","Deletion","Cyanecula svecica","A480","Addition"
"37","A325","Parus palustris","Deletion","Poecile palustris","A493","Addition"
"38","A326","Parus montanus","Deletion","Poecile montanus","A492","Addition"
