"","old_code","old_scientificName","old_UpdateStatus","ScientificNameAuthorCoL","TaxonomicStatus","new_canonicalName","new_authorship","new_code","new_scientificName","new_UpdateStatus","ruleApplied","new_classification"
"1","A748","Alopochen aegyptiaca","Deletion","Alopochen aegyptiaca (Linnaeus, 1766)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"2","A750","Oxyura jamaicensis","Deletion","Oxyura jamaicensis (J. F. Gmelin, 1789)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"3","A758","Threskiornis aethiopicus","Deletion","Threskiornis aethiopicus (Latham, 1790)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"4","A761","Myiopsitta monachus","Deletion","Myiopsitta monachus (Boddaert, 1783)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"5","A765","Acridotheres cristatellus","Deletion","Acridotheres cristatellus (Linnaeus, 1758)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"6","A011","Puffinus gravis","Deletion","Puffinus gravis (O'Reilly, 1818)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"7","A012","Puffinus griseus","Deletion","Puffinus griseus (Gmelin, 1789)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"8","A015","Oceanodroma leucorhoa","Deletion","Oceanodroma leucorhoa (Vieillot, 1818)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"9","A027","Egretta alba","Deletion","Ardea alba Linnaeus, 1758","Synonym","Ardea alba","(Linnaeus, 1758)","A773","Ardea alba","Addition","Synonym - Addition","SPECIES:Ardea alba Linnaeus, 1758|GENUS:Ardea Linnaeus, 1758|SUBFAMILY:Ardeinae Leach, 1820|FAMILY:Ardeidae Leach, 1820|ORDER:Pelecaniformes|CLASS:Aves|MEGACLASS:Tetrapoda|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota"
"10","A033","Geronticus eremita","Deletion","Geronticus eremita (Linnaeus, 1758)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
